project,genome,file_accession,type,output_type,replicates,pipe,Target,Biosample
ENCSR056VYW,GRCh38,ENCFF822FXR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF174,K562
ENCSR057DTZ,GRCh38,ENCFF083GTV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZBTB11,GM12878
ENCSR058DRG,GRCh38,ENCFF558AJI,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CEBPG,K562
ENCSR059BWP,GRCh38,ENCFF130WQT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,PHTF2,K562
ENCSR062HDL,GRCh38,ENCFF766UTT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,HSF1,MCF-7
ENCSR062TDX,GRCh38,ENCFF437PVG,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SALL2,HepG2
ENCSR063FUV,GRCh38,ENCFF715DQS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF143,WTC11
ENCSR064LJN,GRCh38,ENCFF796TMZ,bed narrowPeak,IDR thresholded peaks,"2, 3",ENCODE4,RFX5,A549
ENCSR065WUF,GRCh38,ENCFF539RVI,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,KLF17,HEK293
ENCSR065XVO,GRCh38,ENCFF515GUE,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CHAMP1,K562
ENCSR066EWR,GRCh38,ENCFF743CDY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZMYM2,HepG2
ENCSR066TET,GRCh38,ENCFF782YIG,bed narrowPeak,IDR thresholded peaks,"1, 3",ENCODE4,RFX1,MCF-7
ENCSR068QXO,GRCh38,ENCFF934NEX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SMAD4,K562
ENCSR068ZQR,GRCh38,ENCFF920PLY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF777,HepG2
ENCSR069JKP,GRCh38,ENCFF340VOQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TFDP2,HepG2
ENCSR072GJV,GRCh38,ENCFF156UNQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,HMG20A,HepG2
ENCSR072LQF,GRCh38,ENCFF170VVR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF76,HEK293
ENCSR072PWP,GRCh38,ENCFF664TYB,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF24,GM12878
ENCSR073OBD,GRCh38,ENCFF322IPP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF879,HepG2
ENCSR075BAS,GRCh38,ENCFF300AER,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF17,HepG2
ENCSR075PWK,GRCh38,ENCFF186RPU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF225,HepG2
ENCSR076EZB,GRCh38,ENCFF758SMD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,KLF9,HEK293
ENCSR076KLJ,GRCh38,ENCFF451VTH,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF276,HepG2
ENCSR076KZW,GRCh38,ENCFF822ULV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF280C,HEK293
ENCSR076SHT,GRCh38,ENCFF955LND,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,GPN1,HepG2
ENCSR076STQ,GRCh38,ENCFF638WEZ,bed narrowPeak,IDR thresholded peaks,"2, 3",ENCODE4,ZBTB44,HEK293
ENCSR076YPO,GRCh38,ENCFF060JVZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RNF2,K562
ENCSR077DKV,GRCh38,ENCFF324ELP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CREM,K562
ENCSR077TKJ,GRCh38,ENCFF175WSH,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF707,K562
ENCSR079SHZ,GRCh38,ENCFF302RKX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,OTX1,MCF-7
ENCSR080CST,GRCh38,ENCFF334GBZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF639,HEK293
ENCSR080UEM,GRCh38,ENCFF698ITQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF143,HepG2
ENCSR082QGT,GRCh38,ENCFF645BZY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF784,HepG2
ENCSR084WHZ,GRCh38,ENCFF974IPP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,FOXP4,K562
ENCSR085DDI,GRCh38,ENCFF341CNM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NFXL1,K562
ENCSR087HFN,GRCh38,ENCFF854DNO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF230,HepG2
ENCSR087NSZ,GRCh38,ENCFF482QHM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZBTB39,HepG2
ENCSR087TYG,GRCh38,ENCFF529SRS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NR2F6,K562
ENCSR088LFR,GRCh38,ENCFF049NAU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,GRHL1,HepG2
ENCSR091IQZ,GRCh38,ENCFF359ZQQ,bed narrowPeak,IDR thresholded peaks,"3, 4",ENCODE4,DMBX1,K562
ENCSR091JXL,GRCh38,ENCFF671ZGP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,HES1,K562
ENCSR092DCD,GRCh38,ENCFF003OAO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,PRDM15,WTC11
ENCSR092OVN,GRCh38,ENCFF601MBD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,FOXA3,HepG2
ENCSR093FKD,GRCh38,ENCFF829IEE,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CREB3,K562
ENCSR093HXE,GRCh38,ENCFF055IOC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF16,HEK293
ENCSR094ZCF,GRCh38,ENCFF402ZLE,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CEBPG,MCF-7
ENCSR095JQV,GRCh38,ENCFF437XMN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF780A,HepG2
ENCSR096IIB,GRCh38,ENCFF712HHN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ETV5,HepG2
ENCSR096LSN,GRCh38,ENCFF816BMJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF311,HEK293
ENCSR096OUP,GRCh38,ENCFF230EPT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NFATC4,WTC11
ENCSR098YLE,GRCh38,ENCFF753PSU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,PRDM1,HEK293
ENCSR099MNR,GRCh38,ENCFF307UZC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF75A,K562
ENCSR099NCH,GRCh38,ENCFF268YOM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF24,K562
ENCSR101FJU,GRCh38,ENCFF308CTG,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF384,HepG2
ENCSR102KIN,GRCh38,ENCFF117XRE,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZMYM3,K562
ENCSR102YQB,GRCh38,ENCFF748IDH,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,PAX8,HepG2
ENCSR103GAK,GRCh38,ENCFF757RXU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF175,HEK293
ENCSR103SZL,GRCh38,ENCFF696OTJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TFAP4,HepG2
ENCSR103TYK,GRCh38,ENCFF681YLP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,HBP1,K562
ENCSR106GVM,GRCh38,ENCFF983DOM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SNAI2,SK-N-SH
ENCSR107DKT,GRCh38,ENCFF467WXB,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SP140L,HepG2
ENCSR107GRP,GRCh38,ENCFF556MUV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MLLT1,K562
ENCSR107RHZ,GRCh38,ENCFF286IPW,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,YBX1,K562
ENCSR108MKR,GRCh38,ENCFF958FYM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MNX1,HepG2
ENCSR109ODF,GRCh38,ENCFF132MJX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,HES1,MCF-7
ENCSR109YGM,GRCh38,ENCFF118GMS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CREB3L1,K562
ENCSR110BYN,GRCh38,ENCFF237AST,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF33A,HepG2
ENCSR110JLQ,GRCh38,ENCFF165JQS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF778,K562
ENCSR110QIL,GRCh38,ENCFF989FMK,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RORB,WTC11
ENCSR112XUO,GRCh38,ENCFF699UTZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TP53,A549
ENCSR115HLM,GRCh38,ENCFF435SNP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZBTB26,K562
ENCSR115LFG,GRCh38,ENCFF809NBM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF181,HepG2
ENCSR115QIT,GRCh38,ENCFF416MZE,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZKSCAN8,WTC11
ENCSR115SMW,GRCh38,ENCFF099RDJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,PKNOX1,K562
ENCSR116NDV,GRCh38,ENCFF802NHC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CBFB,K562
ENCSR117CHD,GRCh38,ENCFF974SGQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,HOMEZ,HepG2
ENCSR117XJA,GRCh38,ENCFF016EAV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF790,HepG2
ENCSR118LGS,GRCh38,ENCFF278CIM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TSC22D2,HepG2
ENCSR119FAD,GRCh38,ENCFF030AXK,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,DEAF1,K562
ENCSR120MPG,GRCh38,ENCFF405BKB,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,PRDM10,K562
ENCSR121PFY,GRCh38,ENCFF408RSJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CDC5L,K562
ENCSR121SPB,GRCh38,ENCFF142ZTD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,KLF10,K562
ENCSR123GPC,GRCh38,ENCFF858SAF,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,THAP9,HepG2
ENCSR124APT,GRCh38,ENCFF166QJY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NFYA,HepG2
ENCSR124QQJ,GRCh38,ENCFF425JPL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF354B,HepG2
ENCSR124XCX,GRCh38,ENCFF227RXB,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TRIM24,HepG2
ENCSR124YFA,GRCh38,ENCFF881MMD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF124,K562
ENCSR125DAD,GRCh38,ENCFF132AJP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MLX,HepG2
ENCSR125DNC,GRCh38,ENCFF551LUE,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF394,HEK293
ENCSR125MLR,GRCh38,ENCFF143QCD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF749,HepG2
ENCSR125RFR,GRCh38,ENCFF863ZFH,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ATF6,K562
ENCSR125ULS,GRCh38,ENCFF540KGK,bed narrowPeak,IDR thresholded peaks,"2, 3",ENCODE4,ZNF561,HEK293
ENCSR125ZYC,GRCh38,ENCFF737DLA,bed narrowPeak,IDR thresholded peaks,"3, 4",ENCODE4,KLF9,MCF-7
ENCSR126YEB,GRCh38,ENCFF112JVK,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,FOXA1,MCF-7
ENCSR126YJQ,GRCh38,ENCFF156CMT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,HMG20A,K562
ENCSR127IHN,GRCh38,ENCFF024LQZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF737,HepG2
ENCSR127NBZ,GRCh38,ENCFF910CYH,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ERG,WTC11
ENCSR127XTZ,GRCh38,ENCFF022QCK,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,HNF1B,HepG2
ENCSR130NZQ,GRCh38,ENCFF666ISN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,PRDM4,HepG2
ENCSR130VQL,GRCh38,ENCFF825YKV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,PPARG,HepG2
ENCSR130ZAR,GRCh38,ENCFF296WYX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF691,HepG2
ENCSR133DMU,GRCh38,ENCFF473NCJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RERE,K562
ENCSR134QIE,GRCh38,ENCFF107KSN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZFP3,HEK293
ENCSR135ANT,GRCh38,ENCFF970MPY,bed narrowPeak,IDR thresholded peaks,"1, 3",ENCODE4,NRF1,MCF-7
ENCSR136EQX,GRCh38,ENCFF672RKS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,PBX3,HepG2
ENCSR136OFY,GRCh38,ENCFF852EYZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NR2F1,HepG2
ENCSR136QQF,GRCh38,ENCFF703IGQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,REL,HepG2
ENCSR138RCE,GRCh38,ENCFF293RLS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF132,HEK293
ENCSR140DSL,GRCh38,ENCFF280WZN,bed narrowPeak,IDR thresholded peaks,"2, 3",ENCODE4,MAFF,HeLa-S3
ENCSR140GLO,GRCh38,ENCFF335ZTU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SMAD3,K562
ENCSR141ELR,GRCh38,ENCFF078ATH,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF778,HepG2
ENCSR141PZA,GRCh38,ENCFF663PCO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SP3,HEK293
ENCSR142IGM,GRCh38,ENCFF260FYO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CEBPA,HepG2
ENCSR143CEO,GRCh38,ENCFF230DZT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZC3H8,K562
ENCSR144NTH,GRCh38,ENCFF080TIX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RBAK,HepG2
ENCSR146UIC,GRCh38,ENCFF552QUI,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NFYB,WTC11
ENCSR148FHD,GRCh38,ENCFF004BLZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF827,HepG2
ENCSR149ZBI,GRCh38,ENCFF005MBI,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF584,K562
ENCSR150LGS,GRCh38,ENCFF746QNQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,E2F5,WTC11
ENCSR150QDE,GRCh38,ENCFF710YFH,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SREBF2,K562
ENCSR153DWR,GRCh38,ENCFF904RTN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,E2F1,K562
ENCSR154YWK,GRCh38,ENCFF623HZY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF558,HepG2
ENCSR155IXY,GRCh38,ENCFF672ZEZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF747,HepG2
ENCSR155KHM,GRCh38,ENCFF728ITJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ARNT,K562
ENCSR155VDK,GRCh38,ENCFF328ZJV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZBTB11,MCF-7
ENCSR156JWW,GRCh38,ENCFF209UEC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF263,WTC11
ENCSR157CAU,GRCh38,ENCFF293NUD,bed narrowPeak,IDR thresholded peaks,"1, 3",ENCODE4,ZKSCAN1,HepG2
ENCSR157CEN,GRCh38,ENCFF978GOF,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF205,HepG2
ENCSR158BGH,GRCh38,ENCFF313VEF,bed narrowPeak,IDR thresholded peaks,"3, 4",ENCODE4,MBD1,K562
ENCSR158RYZ,GRCh38,ENCFF803CYY,bed narrowPeak,IDR thresholded peaks,"3, 4",ENCODE4,ZBTB40,K562
ENCSR159BTO,GRCh38,ENCFF669MLA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZKSCAN5,HepG2
ENCSR159GFL,GRCh38,ENCFF992AMF,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF518A,HEK293
ENCSR159RBE,GRCh38,ENCFF270ONC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,GLYR1,HepG2
ENCSR161CZA,GRCh38,ENCFF520POQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ATOH8,A549
ENCSR162IEM,GRCh38,ENCFF637PFI,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MYBL2,K562
ENCSR163PYB,GRCh38,ENCFF445CZX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,CHCHD3,HepG2
ENCSR163RYW,GRCh38,ENCFF747ZUO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF189,HEK293
ENCSR164RIC,GRCh38,ENCFF295XCB,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF444,K562
ENCSR164YJZ,GRCh38,ENCFF687TJX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NFKB2,HepG2
ENCSR165YVX,GRCh38,ENCFF835WKW,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MXD1,HepG2
ENCSR167KBO,GRCh38,ENCFF840SLB,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF316,K562
ENCSR167XFW,GRCh38,ENCFF790PAD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF544,HEK293
ENCSR168AUX,GRCh38,ENCFF048HNT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,AHDC1,HepG2
ENCSR169JRW,GRCh38,ENCFF505AEY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZSCAN20,HepG2
ENCSR170AMG,GRCh38,ENCFF942JZO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,FOXC1,HepG2
ENCSR170DNV,GRCh38,ENCFF894XVP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,PHB2,HepG2
ENCSR171BKT,GRCh38,ENCFF450BWT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF674,HepG2
ENCSR171CAY,GRCh38,ENCFF938ZPZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,E2F7,K562
ENCSR171FUX,GRCh38,ENCFF260APL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,FOXK2,HepG2
ENCSR171KUL,GRCh38,ENCFF417DUY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF513,HepG2
ENCSR171TDM,GRCh38,ENCFF507RLU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,EHF,A549
ENCSR172OSX,GRCh38,ENCFF830MTX,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZBTB12,K562
ENCSR172XJS,GRCh38,ENCFF169QYL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF165,K562
ENCSR173CTF,GRCh38,ENCFF216VXG,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF580,HepG2
ENCSR173USN,GRCh38,ENCFF157SUO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZBTB43,HepG2
ENCSR173ZVL,GRCh38,ENCFF510ZBJ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF592,GM12878
ENCSR174GOO,GRCh38,ENCFF529NGU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,HMGXB4,HepG2
ENCSR175MIA,GRCh38,ENCFF856QFA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZBTB2,HepG2
ENCSR175SZH,GRCh38,ENCFF151WYQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZSCAN29,K562
ENCSR176EXN,GRCh38,ENCFF769TUY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,JUN,MCF-7
ENCSR177VFS,GRCh38,ENCFF884QQW,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,"BORCS8-MEF2B,MEF2B",GM12878
ENCSR178DEG,GRCh38,ENCFF199GFU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NR2C1,K562
ENCSR180MUU,GRCh38,ENCFF625WYP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RREB1,HepG2
ENCSR181ELQ,GRCh38,ENCFF581WFU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,OVOL2,WTC11
ENCSR182QWU,GRCh38,ENCFF230YBC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF3,HepG2
ENCSR184SVO,GRCh38,ENCFF011OPT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZBTB26,HepG2
ENCSR185FOY,GRCh38,ENCFF659VIS,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF341,HEK293
ENCSR185QFX,GRCh38,ENCFF389COE,bed narrowPeak,IDR thresholded peaks,"2, 3",ENCODE4,ZNF549,HEK293
ENCSR186JMM,GRCh38,ENCFF628KKY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MEIS1,HEK293
ENCSR187RGF,GRCh38,ENCFF493LZB,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF695,K562
ENCSR188EMJ,GRCh38,ENCFF179LFO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SNAI1,HepG2
ENCSR189PYJ,GRCh38,ENCFF730QQD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SMAD2,K562
ENCSR189TRZ,GRCh38,ENCFF504PFQ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TCF12,K562
ENCSR189YMA,GRCh38,ENCFF433ERT,bed narrowPeak,IDR thresholded peaks,"3, 4",ENCODE4,VEZF1,K562
ENCSR189YYK,GRCh38,ENCFF171FMR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZBTB40,GM12878
ENCSR190GIW,GRCh38,ENCFF507JZI,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NR5A2,A549
ENCSR192AFN,GRCh38,ENCFF934NVD,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,PAX8,GM12878
ENCSR192SKV,GRCh38,ENCFF708HLM,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,HMGXB4,A549
ENCSR193ZLW,GRCh38,ENCFF372YFU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,THAP7,K562
ENCSR194BBY,GRCh38,ENCFF297VNY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF221,HEK293
ENCSR194IJN,GRCh38,ENCFF528OYW,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF766,K562
ENCSR194KWL,GRCh38,ENCFF355FWU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF704,HEK293
ENCSR194NVP,GRCh38,ENCFF502QZR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,MTF1,HepG2
ENCSR196FSX,GRCh38,ENCFF408CTC,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZFP82,HepG2
ENCSR197DJH,GRCh38,ENCFF571VYR,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,SREBF1,MCF-7
ENCSR198BHH,GRCh38,ENCFF414GKA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF550,HepG2
ENCSR198RHC,GRCh38,ENCFF462RVE,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF782,HepG2
ENCSR199HGP,GRCh38,ENCFF697DRN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZKSCAN3,K562
ENCSR199MFT,GRCh38,ENCFF811LFF,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,FOXQ1,HepG2
ENCSR199PXS,GRCh38,ENCFF058ZDU,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZBTB43,WTC11
ENCSR200AWS,GRCh38,ENCFF927LFN,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZBTB40,HepG2
ENCSR201DCF,GRCh38,ENCFF718IGO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZFP91,K562
ENCSR201GGK,GRCh38,ENCFF489SJO,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,NFIL3,HepG2
ENCSR202OLE,GRCh38,ENCFF229WDE,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZMYM4,HepG2
ENCSR203PCF,GRCh38,ENCFF974DKV,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF121,WTC11
ENCSR203UQM,GRCh38,ENCFF921XWH,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,RBSN,HepG2
ENCSR204ALX,GRCh38,ENCFF353STA,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF431,HepG2
ENCSR204ZIN,GRCh38,ENCFF114SGL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,TOPORS,HepG2
ENCSR205SKQ,GRCh38,ENCFF488IGF,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,YBX1,GM12878
ENCSR206BVQ,GRCh38,ENCFF324LRE,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4,ZNF786,HepG2
